Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
FRESHBUS,Electric A/C Seater (2+2),21:00,05:05,08h 05m,500,23 Seats available,"4.7
497",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
FRESHBUS,Electric A/C Seater (2+2),21:50,05:45,07h 55m,599,15 Seats available,"4.6
517",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater (2+2),22:20,06:00,07h 40m,383,16 Seats available,"4.5
821",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
AdSai RK Travels,Non A/C Seater / Sleeper (2+1),21:50,04:35,06h 45m,INR 399,20 Seats available,"4.2
59",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
FRESHBUS,Electric A/C Seater (2+2),23:10,07:05,07h 55m,500,25 Seats available,"4.6
419",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Zingbus Plus,A/C Seater / Sleeper (2+1),22:15,05:30,07h 15m,549,11 Seats available,"4.8
116",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:55,05:30,07h 35m,INR 439,19 Seats available,"4.4
628",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),23:15,06:25,07h 10m,INR 409,22 Seats available,"4.3
326",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:25,06:00,07h 35m,INR 459,19 Seats available,"4.4
563",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sri KVR Travels,A/C Sleeper (2+1),21:40,05:15,07h 35m,INR 599,21 Seats available,"4.5
296",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Svkdt travels,A/C Sleeper (2+1),22:20,05:50,07h 30m,INR 586,12 Seats available,"4.4
488",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:00,06:30,07h 30m,INR 619,15 Seats available,"4.4
453",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater/Sleeper (2+1),22:35,06:00,07h 25m,383,11 Seats available,"4.3
576",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sri Sanvi Tours and Travels,A/C Sleeper (2+1),22:20,04:53,06h 33m,854,22 Seats available,"4.4
316",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater (2+2),20:55,04:20,07h 25m,383,13 Seats available,"4.3
509",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,A/C Seater / Sleeper (2+1),22:25,06:05,07h 40m,INR 349,13 Seats available,"4.3
397",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Yolo Bus,A/C Seater / Sleeper (2+1),22:15,05:24,07h 09m,INR 450,15 Seats available,"4.3
332",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Zingbus Plus,A/C Seater / Sleeper (2+1),22:50,06:05,07h 15m,432,18 Seats available,"4.2
547",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
FRESHBUS,Electric A/C Seater (2+2),18:00,00:15,06h 15m,339,19 Seats available,"4.7
159",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater/Sleeper (2+1),21:35,05:10,07h 35m,383,12 Seats available,"4.2
465",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:50,05:25,07h 35m,675,16 Seats available,"4.3
251",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),22:45,06:00,07h 15m,INR 479,21 Seats available,"4.1
817",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater (2+2),23:25,06:30,07h 05m,383,20 Seats available,"4.2
339",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Tirumala Xpress,A/C Sleeper (2+1),21:35,05:50,08h 15m,449,28 Seats available,"4.1
444",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater (2+2),22:55,06:35,07h 40m,459,27 Seats available,"4.3
131",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sri Durga Malleswari Travels,A/C Sleeper (2+1),21:45,04:35,06h 50m,495,14 Seats available,"4.2
140",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,AC Sleeper (2+1),21:45,05:50,08h 05m,INR 589,13 Seats available,"4.0
358",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
NueGo,Electric A/C Seater (2+2),21:40,05:20,07h 40m,459,14 Seats available,"4.2
96",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,AC Sleeper (2+1),22:40,06:25,07h 45m,INR 589,21 Seats available,"4.6
91",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sri Durga Malleswari Travels,A/C Seater / Sleeper (2+1),21:00,04:40,07h 40m,405,20 Seats available,"4.0
89",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Svkdt travels,A/C Sleeper (2+1),22:20,05:50,07h 30m,INR 499,13 Seats available,"4.0
334",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
IntrCity SmartBus,A/C Seater / Sleeper (2+1),21:30,03:00,05h 30m,INR 589,14 Seats available,"4.8
25",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Holidays Tours and Travels,A/C Seater / Sleeper (2+1),22:05,04:24,06h 19m,INR 499,18 Seats available,"4.9
22",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
V Kaveri Travels,A/C Seater / Sleeper (2+1),21:40,05:10,07h 30m,INR 500,11 Seats available,"4.0
44",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Yolo Bus,A/C Seater / Sleeper (2+1),22:20,05:19,06h 59m,INR 610,25 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Zingbus Plus,A/C Sleeper (2+1),18:00,00:45,06h 45m,689,14 Seats available,"4.6
16",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sri Sai Anjana Tours and Travels,Non A/C Seater / Sleeper (2+1),20:15,04:25,08h 10m,INR 399,15 Seats available,"4.4
12",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Mayuri Travels,A/C Sleeper (2+1),20:40,03:30,06h 50m,INR 670,21 Seats available,"4.5
10",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
PRK Travels,Non A/C Seater / Sleeper (2+1),20:15,05:25,09h 10m,INR 589,13 Seats available,"4.5
9",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Komali Travels,Non A/C Seater / Sleeper (2+1),21:00,04:30,07h 30m,INR 510,19 Seats available,"4.2
12",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
Sai Srinivasa Travels,A/C Sleeper (2+1),21:30,04:15,06h 45m,INR 600,22 Seats available,"4.0
12",https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Hyderabad to Vijayawada,Andhra Pradesh
