Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,05:00,06h 40m,495,53 Seats available,"3.6
48",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Bihar
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:40,04:00,05h 20m,INR 450,19 Seats available,"3.4
20",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Bihar
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,02:00,05h 32m,INR 500,6 Seats available,"2.0
6",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Bihar
V.I.P Travels,A/C Seater / Sleeper (2+2),21:40,03:40,06h 00m,INR 350,51 Seats available,"2.8
10",https://www.redbus.in/bus-tickets/patna-to-bettiah,Patna (Bihar) to Bettiah,Bihar
Bihar state road transport corporation (BSRTC) - 150571,Non AC Seater (2+2),21:20,01:00,03h 40m,INR 230,33 Seats available,"3.7
11",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Bihar
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:20,03:15,04h 55m,495,53 Seats available,3.1,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Bihar
Jai Hanuman Travels,A/C Seater / Sleeper (2+2),22:00,04:00,06h 00m,495,54 Seats available,"4.5
4",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Bihar
Panwar Travels,A/C Seater / Sleeper (2+1),18:10,21:35,03h 25m,998,25 Seats available,2.8,https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Bihar
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),20:28,23:30,03h 02m,INR 500,6 Seats available,"1.1
5",https://www.redbus.in/bus-tickets/patna-to-motihari,Patna (Bihar) to Motihari,Bihar
Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),20:30,02:00,05h 30m,INR 285,23 Seats available,"2.3
14",https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar),Bihar
Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),22:00,05:00,07h 00m,INR 500,8 Seats available,"3.1
13",https://www.redbus.in/bus-tickets/bettiah-to-patna,Bettiah to Patna (Bihar),Bihar
ROYAL TRAVELS AND CARGO,A/C Seater / Sleeper (2+2),17:30,08:30,15h 00m,INR 1496,7 Seats available,"1.6
68",https://www.redbus.in/bus-tickets/gopalganj-to-delhi,Gopalganj (Bihar) to Delhi,Bihar
