Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
HRTC - 532,Ordinary 3+2 Non AC Seater,17:59,23:40,05h 41m,INR 290,27 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 541,Ordinary 3+2 Non AC Seater,19:14,00:30,05h 16m,INR 290,33 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 549,A/C Executive (2+3),19:25,00:40,05h 15m,INR 390,38 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 548,Ordinary 3+2 Non AC Seater,19:31,00:40,05h 09m,INR 290,24 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 545,Ordinary 3+2 Non AC Seater,19:32,00:20,04h 48m,INR 275,34 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 301,Ordinary 3+2 Non AC Seater,19:43,00:20,04h 37m,INR 290,27 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 84,Himsuta AC Seater Volvo/Scania 2+2,20:15,01:20,05h 05m,INR 543,10 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 557,Ordinary 3+2 Non AC Seater,20:15,01:30,05h 15m,INR 290,37 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 547,A/C Executive (2+3),20:16,01:25,05h 09m,INR 395,40 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 591,A/C Executive (2+3),21:00,03:00,06h 00m,INR 400,39 Seats available,"2.4
4",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 567,Himsuta AC Seater Volvo/Scania 2+2,21:03,02:30,05h 27m,INR 533,15 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 574,Ordinary 3+2 Non AC Seater,21:14,02:40,05h 26m,INR 275,34 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 568,Ordinary 3+2 Non AC Seater,21:30,03:05,05h 35m,INR 290,33 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 577,A/C Executive (2+3),21:40,02:40,05h 00m,INR 400,44 Seats available,"3.5
6",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 571,Ordinary 3+2 Non AC Seater,21:40,02:30,04h 50m,INR 285,34 Seats available,"2.3
6",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 600,Himsuta AC Seater Volvo/Scania 2+2,21:50,04:00,06h 10m,INR 533,29 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 579,Ordinary 3+2 Non AC Seater,22:30,03:00,04h 30m,INR 285,23 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 580,Ordinary 3+2 Non AC Seater,22:45,03:50,05h 05m,INR 290,35 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
HRTC - 564,Ordinary 3+2 Non AC Seater,23:40,05:40,06h 00m,INR 290,33 Seats available,"3.0
13",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
NueGo,A/C Seater (2+2),16:30,21:55,05h 25m,422,2 Seats available,"4.1
218",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),17:00,22:50,05h 50m,INR 499,17 Seats available,"4.5
299",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),17:00,23:05,06h 05m,INR 409,6 Seats available,"4.4
168",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
NueGo,A/C Seater (2+2),17:30,22:35,05h 05m,422,27 Seats available,"4.1
354",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
Zingbus Plus,Volvo A/C Semi Sleeper (2+2),17:30,23:30,06h 00m,270,16 Seats available,"4.7
358",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
NueGo,Electric A/C Seater (2+2),17:40,00:35,06h 55m,333,27 Seats available,"3.1
12",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
FlixBus,Bharat Benz A/C Seater (2+2),18:00,00:05,06h 05m,INR 562.5,33 Seats available,"3.5
8",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
Laxmi holidays,Volvo 9600 A/C Semi Sleeper (2+2),18:00,23:30,05h 30m,INR 499,23 Seats available,"4.7
120",https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
Subh Yatri Holidays,Volvo A/C Semi Sleeper (2+2),18:00,00:15,06h 15m,INR 673,5 Seats available,3.1,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh,Chandigarh
