Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
Kadamba Transport Corporation Limited (KTCL) - 141177,Non AC Seater 2+2,19:00,05:00,10h 00m,INR 600,26 Seats available,"3.6
161",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,09:30,11h 00m,INR 920,22 Seats available,"4.1
304",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,08:00,10h 00m,INR 900,13 Seats available,"4.0
16",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,10h 30m,INR 900,14 Seats available,"4.0
140",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:00,10:00,11h 00m,INR 1050,19 Seats available,"4.1
502",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Indumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,INR 950,20 Seats available,"4.2
372",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Ashray Vip Yellows,A/C Sleeper (2+1),20:35,08:00,11h 25m,INR 900,12 Seats available,"4.1
474",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,INR 500,10 Seats available,"4.2
289",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:20,08:50,11h 30m,INR 500,14 Seats available,"4.3
727",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
IntrCity SmartBus,AC Sleeper (2+1),22:00,09:35,11h 35m,INR 900,11 Seats available,"4.3
245",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:05,08:30,11h 25m,INR 900,8 Seats available,"4.3
686",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 999,3 Seats available,"4.6
565",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:15,07:55,10h 40m,INR 600,7 Seats available,"4.5
575",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:35,11h 05m,INR 934,7 Seats available,"4.1
382",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,INR 905,11 Seats available,"4.3
659",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kadamba
