Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
Indo Canadian Transport Company,Mercedes A/C Semi Sleeper (2+2),23:30,06:30,07h 00m,INR 3300,41 Seats available,4.6,https://www.redbus.in/bus-tickets/delhi-to-patiala,Delhi to Patiala,Punjab
NueGo,Electric A/C Seater (2+2),23:15,05:05,05h 50m,846,4 Seats available,"4.1
321",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:15,06h 20m,INR 749,5 Seats available,"4.7
106",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
New Navyug Travels,A/C Sleeper (2+1),23:00,05:30,06h 30m,INR 875,1 Seat available,"4.4
65",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:55,06:45,06h 50m,INR 1200,1 Seat available,"4.3
372",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:05,05:15,06h 10m,INR 989,6 Seats available,"4.3
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,1258,5 Seats available,"4.7
237",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,04:18,05h 51m,INR 1600,2 Seats available,"4.5
485",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:10,05:50,06h 40m,INR 839,6 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:10,06:20,07h 10m,INR 909,3 Seats available,"4.7
96",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:40,06:20,06h 40m,INR 1029,8 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Indo Canadian Transport Company,A/C Semi Sleeper (2+2),23:29,07:00,07h 31m,INR 3300,13 Seats available,4.6,https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:15,06h 30m,INR 1419,7 Seats available,"4.6
23",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
NueGo,Electric A/C Seater (2+2),00:05,05:55,05h 50m,789,6 Seats available,"3.5
199",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05:10,05h 30m,INR 1199,1 Seat available,"3.5
5",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:15,05h 20m,INR 1399,2 Seats available,"3.9
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,INR 649,1 Seat available,"3.3
54",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Classic Travels,A/C Seater / Sleeper (2+2),23:30,06:30,07h 00m,INR 389,16 Seats available,"2.3
125",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Classic Travels,A/C Seater / Sleeper (2+2),23:55,06:55,07h 00m,INR 389,28 Seats available,"2.3
115",https://www.redbus.in/bus-tickets/ludhiana-to-delhi,Ludhiana to Delhi,Punjab
Zingbus Plus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,06:40,06h 50m,INR 1438,5 Seats available,"4.7
237",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:55,06:15,06h 20m,INR 749,5 Seats available,"4.7
106",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:10,06:20,07h 10m,INR 909,3 Seats available,"4.7
96",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
Yolo Bus,VE A/C Seater / Sleeper (2+1),22:27,04:18,05h 51m,INR 1600,2 Seats available,"4.5
485",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
NueGo,Electric A/C Seater (2+2),23:15,05:05,05h 50m,INR 871,2 Seats available,"4.1
321",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
Laxmi holidays,Bharat Benz A/C Sleeper (2+1),23:55,06:45,06h 50m,INR 1200,1 Seat available,"4.3
372",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
New Navyug Travels,A/C Sleeper (2+1),23:00,05:30,06h 30m,INR 875,1 Seat available,"4.4
65",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:45,06:15,06h 30m,INR 1419,7 Seats available,"4.6
23",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:40,06:20,06h 40m,INR 1029,8 Seats available,"4.4
13",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),23:05,05:15,06h 10m,INR 989,6 Seats available,"4.3
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
NueGo,Electric A/C Seater (2+2),00:05,05:55,05h 50m,INR 831,6 Seats available,"3.5
199",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
Classic Travels,A/C Seater / Sleeper (2+2),23:30,06:30,07h 00m,INR 389,16 Seats available,"2.3
125",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
ADTC tour and Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,05:15,05h 20m,INR 1399,2 Seats available,"3.9
11",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:10,05:50,06h 40m,INR 839,6 Seats available,"4.1
9",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
ADTC tour and Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:40,05:10,05h 30m,INR 1199,1 Seat available,"3.5
5",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
Armaan Tour & Travels,A/C Seater / Sleeper (2+1),22:50,06:00,07h 10m,INR 649,1 Seat available,"3.3
54",https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport,Ludhiana to Delhi Airport,Punjab
