Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
RSRTC - 193481,Express Non AC Seater 2+3,18:30,23:00,04h 30m,INR 229,42 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
RSRTC - 176394,Super Luxury Volvo AC Seater Pushback 2+2,20:00,23:45,03h 45m,INR 460,37 Seats available,"3.9
42",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
RSRTC - 189473,NON AC Seater / Sleeper 2+1,21:00,01:30,04h 30m,INR 302,37 Seats available,"4.5
5",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,23:00,02:45,03h 45m,INR 458,37 Seats available,"3.7
12",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
RSRTC - 189583,NON AC Seater / Sleeper 2+1,23:59,03:45,03h 46m,INR 302,37 Seats available,"4.6
16",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Jakhar Travels,NON A/C Seater/ Sleeper (2+1),18:00,23:15,05h 15m,INR 450,25 Seats available,3.9,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
M R Travels,NON A/C Seater/ Sleeper (2+1),18:30,23:40,05h 10m,INR 495,34 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:36,04h 36m,INR 330,16 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Bluecity Bus,A/C Sleeper (2+1),19:00,23:55,04h 55m,INR 680,14 Seats available,4.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Jain travels regd,NON AC Seater / Sleeper 2+1,19:00,23:50,04h 50m,INR 330,29 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
M R Travels,A/C Volvo B11R Multi-Axle Sleeper (2+1),19:30,23:50,04h 20m,INR 611,15 Seats available,3.8,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Jain travels regd,AC Sleeper (2+1),20:00,00:30,04h 30m,INR 580,27 Seats available,"3.8
5",https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Chanakya Travels Agency,NON A/C Seater/ Sleeper (2+1),20:30,01:15,04h 45m,INR 500,40 Seats available,3.7,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
Mahadev Travels JOD,A/C Seater / Sleeper (2+1),21:15,02:45,05h 30m,INR 400,26 Seats available,4.3,https://www.redbus.in/bus-tickets/jodhpur-to-ajmer,Jodhpur to Ajmer,Rajasthan
