Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,03h 45m,INR 486,6 Seats available,"4.0
305",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,South Bengal
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,03h 45m,INR 486,6 Seats available,"4.2
11",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,South Bengal
Express Line,Volvo 9600 A/C Seater (2+2),18:30,22:50,04h 20m,INR 486,6 Seats available,"4.5
262",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,South Bengal
SBSTC-KARUNAMOYEE - BURDWAN - 18:15 (BWN DEPOT) - 119,Non AC Seater (2+3),18:15,20:15,02h 00m,INR 100,26 Seats available,"3.7
160",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
SBSTC-KOLKATA - BURDWAN - 18:15 (BWN DEPOT) - 96,Non AC Seater (2+3),18:15,20:15,02h 00m,INR 95,47 Seats available,"3.6
79",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
SBSTC-KARUNAMOYEE - BURDWAN - A/C - 18:45 (BWN DEPOT) - 1674,AC Seater (2+2),18:45,20:45,02h 00m,INR 200,29 Seats available,"3.5
113",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
SBSTC-KARUNAMOYEE - BURDWAN - 19:30 (BWN DEPOT) - 120,Non AC Seater (2+3),19:30,21:30,02h 00m,INR 100,44 Seats available,"3.2
122",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
SBSTC-KOLKATA - BURDWAN - 20:00 (BWN DEPOT) - 103,Non AC Seater (2+3),20:00,22:00,02h 00m,INR 95,49 Seats available,"4.1
41",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:30,20:00,02h 30m,INR 429,34 Seats available,"4.6
94",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:30,19:20,01h 50m,INR 429,22 Seats available,"4.6
34",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
Greenline (Karunamoyee),Volvo A/C Seater (2+2),17:30,19:20,01h 50m,INR 429,30 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo B11R Multi Axle Seater (2+2),17:30,20:00,02h 30m,INR 429,53 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:00,20:30,02h 30m,INR 429,29 Seats available,4.4,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
Greenline (Karunamoyee),Volvo A/C Seater (2+2),18:01,20:30,02h 29m,INR 429,29 Seats available,4.3,https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),18:40,20:40,02h 00m,INR 429,27 Seats available,"4.3
20",https://www.redbus.in/bus-tickets/kolkata-to-burdwan,Kolkata to Burdwan,South Bengal
