Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
TGSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,01:00,04h 00m,INR 389,33 Seats available,"3.7
53",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 8619,Rajdhani (AC Semi Sleeper 2+2),22:00,02:00,04h 00m,INR 389,18 Seats available,"3.7
72",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 64593,Super Luxury (Non AC Seater 2+2 Push Back),22:30,02:25,03h 55m,INR 320,5 Seats available,"4.1
33",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 8827,Super Luxury (Non AC Seater 2+2 Push Back),22:55,03:20,04h 25m,INR 320,9 Seats available,"4.0
17",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 4166,Rajdhani (AC Semi Sleeper 2+2),23:00,03:00,04h 00m,INR 389,28 Seats available,"4.1
15",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 6631,Super Luxury (Non AC Seater 2+2 Push Back),23:00,03:30,04h 30m,INR 320,20 Seats available,3.7,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 8644,Super Luxury (Non AC Seater 2+2 Push Back),23:10,03:20,04h 10m,INR 320,10 Seats available,"4.3
43",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 8992,Super Luxury (Non AC Seater 2+2 Push Back),23:25,03:20,03h 55m,INR 320,5 Seats available,"4.3
17",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 64008,RAJADHANI AC (CONVERTED METRO LUXURY),23:30,03:30,04h 00m,INR 389,28 Seats available,"3.9
67",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03:30,03h 45m,INR 389,9 Seats available,"4.0
25",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 7646,Super Luxury (Non AC Seater 2+2 Push Back),23:55,04:00,04h 05m,INR 320,6 Seats available,"4.7
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 8600,Super Luxury (Non AC Seater 2+2 Push Back),23:55,05:20,05h 25m,INR 320,16 Seats available,"4.8
31",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
TGSRTC - 1323,LAHARI A/C SLEEPER CUM SEATER,23:55,03:30,03h 35m,INR 389,12 Seats available,"3.1
48",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
BSR Tours And Travels,NON A/C Seater (2+2),23:40,06:00,06h 20m,INR 450,11 Seats available,"4.5
23",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06:00,06h 15m,INR 450,9 Seats available,"3.5
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
Sri KVR Travels,A/C Seater / Sleeper (2+1),23:58,05:00,05h 02m,INR 510,5 Seats available,3.6,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
SAIRAJ TRAVELS,A/C Sleeper (2+1),23:59,05:30,05h 31m,INR 800,2 Seats available,"5.0
5",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
Nani’s Sai Krishna Travels,Non A/C Seater / Sleeper (2+1),23:59,05:00,05h 01m,INR 780,6 Seats available,"3.6
11",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
Sri Krishna Travels(VGN),Non A/C Seater / Sleeper (2+1),23:59,06:10,06h 11m,INR 600,8 Seats available,"3.1
7",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad,Telugana
