Busname,Bustype,Departing_time,Reaching_time,Duration,Price,Seats_available,Star_rating,Route_links,Route_names,State_name
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,03:35,06h 20m,488,40 Seats available,3.8,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal),West Bengal
Satya Paribahan,A/C Seater (2+3),23:00,05:10,06h 10m,INR 320,24 Seats available,"3.6
39",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal),West Bengal
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:55,05h 20m,450,20 Seats available,"1.1
12",https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal),West Bengal
Aradhana Bus Service,A/C Seater / Sleeper (2+2),22:55,04:50,05h 55m,INR 450,75 Seats available, ,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal,Digha to Barasat (West Bengal),West Bengal
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,03h 45m,INR 486,6 Seats available,"4.0
305",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,West Bengal
SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),17:50,21:35,03h 45m,INR 486,6 Seats available,"4.2
11",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,West Bengal
Express Line,Volvo 9600 A/C Seater (2+2),18:30,22:50,04h 20m,INR 486,6 Seats available,"4.5
262",https://www.redbus.in/bus-tickets/durgapur-to-kolkata,Durgapur (West Bengal) to Kolkata,West Bengal
City Express (Shinjini),AC Seater (2+3),22:45,04:10,05h 25m,INR 370,13 Seats available,"3.7
33",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,West Bengal
Snemita Paribahan(Shinjini),A/C Seater (2+3),22:45,04:10,05h 25m,INR 370,12 Seats available,"3.8
28",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,West Bengal
The Joy Ride,A/C Seater / Sleeper (2+2),21:15,02:30,05h 15m,488,40 Seats available,"4.5
7",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,West Bengal
Parameswar Travels,A/C Seater Push Back (2+2),17:50,23:00,05h 10m,340,39 Seats available,"2.5
18",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,West Bengal
Snemita Paribahan (Shinjini),AC Seater (2+3),23:35,04:15,04h 40m,INR 370,24 Seats available,"2.3
14",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,West Bengal
Aradhana Travels,A/C Seater / Sleeper (2+2),18:35,23:00,04h 25m,450,20 Seats available,"1.5
15",https://www.redbus.in/bus-tickets/digha-to-kolkata,Digha to Kolkata,West Bengal
