State,Route_name,Route_link
Kadamba,Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa
Kadamba,Goa to Pune,https://www.redbus.in/bus-tickets/goa-to-pune
Kadamba,Mumbai to Goa,https://www.redbus.in/bus-tickets/mumbai-to-goa
Kadamba,Goa to Mumbai,https://www.redbus.in/bus-tickets/goa-to-mumbai
Kadamba,Belagavi to Goa,https://www.redbus.in/bus-tickets/belagavi-to-goa
Kadamba,Bangalore to Goa,https://www.redbus.in/bus-tickets/bangalore-to-goa
Kadamba,Goa to Bangalore,https://www.redbus.in/bus-tickets/goa-to-bangalore
Kadamba,Pandharpur to Goa,https://www.redbus.in/bus-tickets/pandharpur-to-goa
Kadamba,Goa to Belagavi,https://www.redbus.in/bus-tickets/goa-to-belagavi
Kadamba,Goa to Kolhapur(Maharashtra),https://www.redbus.in/bus-tickets/goa-to-kolhapur-maharashtra
Kadamba,Solapur to Goa,https://www.redbus.in/bus-tickets/solapur-to-goa
Kadamba,Goa to Pandharpur,https://www.redbus.in/bus-tickets/goa-to-pandharpur
Kadamba,Goa to Solapur,https://www.redbus.in/bus-tickets/goa-to-solapur
Kadamba,Calangute (goa) to Goa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-goa-airport
Kadamba,Goa to Sangola (Solapur),https://www.redbus.in/bus-tickets/goa-to-sangola
Kadamba,Sangola (Solapur) to Goa,https://www.redbus.in/bus-tickets/sangola-to-goa
Kadamba,Calangute (goa) to Mopa Airport,https://www.redbus.in/bus-tickets/calangute-goa-to-mopa-airport
Kadamba,Goa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/goa-airport-to-calangute-goa
Kadamba,Mopa Airport to Calangute (goa),https://www.redbus.in/bus-tickets/mopa-airport-to-calangute-goa
Kadamba,Shivamogga to Goa,https://www.redbus.in/bus-tickets/shimoga-to-goa
Kadamba,Marcel to Belagavi,https://www.redbus.in/bus-tickets/marcel-to-belagavi
Kadamba,Ponda to Belagavi,https://www.redbus.in/bus-tickets/ponda-to-belagavi
Kadamba,Belagavi to Marcel,https://www.redbus.in/bus-tickets/belagavi-to-marcel
Kadamba,Belagavi to Ponda,https://www.redbus.in/bus-tickets/belagavi-to-ponda
Kadamba,Panaji to Goa Airport,https://www.redbus.in/bus-tickets/panaji-to-goa-airport
Kadamba,Goa to Sangli,https://www.redbus.in/bus-tickets/goa-to-sangli
Kadamba,Goa to Mopa Airport,https://www.redbus.in/bus-tickets/goa-to-mopa-airport
Kadamba,Goa to Miraj,https://www.redbus.in/bus-tickets/goa-to-miraj
Kadamba,Margao to Mopa Airport,https://www.redbus.in/bus-tickets/margoa-to-mopa-airport
Kadamba,Mopa Airport to Goa,https://www.redbus.in/bus-tickets/mopa-airport-to-goa
Kadamba,Mopa Airport to Margao,https://www.redbus.in/bus-tickets/mopa-airport-to-margoa
Kadamba,Goa Airport to Panaji,https://www.redbus.in/bus-tickets/goa-airport-to-panaji
Kadamba,Shirdi to Goa,https://www.redbus.in/bus-tickets/shirdi-to-goa
Kadamba,Goa to Shivamogga,https://www.redbus.in/bus-tickets/goa-to-shimoga
Kadamba,Goa to Satara,https://www.redbus.in/bus-tickets/goa-to-satara
Kadamba,Panaji to Mopa Airport,https://www.redbus.in/bus-tickets/panaji-to-mopa-airport
Kadamba,Saquelim to Belagavi,https://www.redbus.in/bus-tickets/saquelim-to-belagavi
Kadamba,Goa to Goa Airport,https://www.redbus.in/bus-tickets/goa-to-goa-airport
Kadamba,Goa to Shirdi,https://www.redbus.in/bus-tickets/goa-to-shirdi
Kadamba,Goa Airport to Goa,https://www.redbus.in/bus-tickets/goa-airport-to-goa
Kadamba,Calangute (goa) to Goa,https://www.redbus.in/bus-tickets/calangute-goa-to-goa
Kadamba,Mopa Airport to Panaji,https://www.redbus.in/bus-tickets/mopa-airport-to-panaji
Kadamba,Goa to Calangute (goa),https://www.redbus.in/bus-tickets/goa-to-calangute-goa
Kadamba,Belagavi to Saquelim,https://www.redbus.in/bus-tickets/belagavi-to-saquelim
Kadamba,Calangute (goa) to Panaji,https://www.redbus.in/bus-tickets/calangute-goa-to-panaji
