State,Route_name,Route_link
Punjab,Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Punjab,Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
Punjab,Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Punjab,Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Punjab,Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
Punjab,Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
Punjab,Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
Punjab,Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
Punjab,Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Punjab,Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
Punjab,Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
Punjab,Chandigarh to Bathinda,https://www.redbus.in/bus-tickets/chandigarh-to-bathinda
Punjab,Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Punjab,Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
Punjab,Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
Punjab,Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
Punjab,Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
Punjab,Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
Punjab,Delhi Airport to Phagwara,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara
Punjab,Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
Punjab,Delhi Airport to Kapurthala,https://www.redbus.in/bus-tickets/delhi-airport-to-kapurthala
Punjab,Amritsar to Patiala,https://www.redbus.in/bus-tickets/amritsar-to-patiala
Punjab,Patiala to Amritsar,https://www.redbus.in/bus-tickets/patiala-to-amritsar
